Review,Actual,Predicted,Probability
1,Positive,Negative,0.015495557
0,Negative,Positive,0.75877625
0,Negative,Positive,0.9992773
1,Positive,Negative,0.013354996
0,Negative,Positive,0.9249019
1,Positive,Negative,0.00807621
0,Negative,Positive,0.9942336
1,Positive,Negative,0.091886446
1,Positive,Negative,0.029782604
1,Positive,Negative,0.021604406
0,Negative,Positive,0.6301162
0,Negative,Positive,0.9964666
1,Positive,Negative,0.26768604
1,Positive,Negative,0.21473664
1,Positive,Negative,0.11521494
0,Negative,Positive,0.9998741
0,Negative,Positive,0.9875408
1,Positive,Negative,0.0009952827
1,Positive,Negative,0.0903244
0,Negative,Positive,0.89240164
0,Negative,Positive,0.55821306
0,Negative,Positive,0.6773248
1,Positive,Negative,0.0022724348
0,Negative,Positive,0.9866883
1,Positive,Negative,0.06681885
1,Positive,Negative,0.2584556
0,Negative,Positive,0.9892415
0,Negative,Positive,0.656452
0,Negative,Positive,0.9987017
1,Positive,Negative,8.984805e-05
1,Positive,Negative,0.009185884
1,Positive,Negative,0.48527884
0,Negative,Positive,0.86103994
1,Positive,Negative,0.001288119
0,Negative,Positive,0.9998824
0,Negative,Positive,0.9740922
0,Negative,Positive,0.63383645
1,Positive,Negative,0.002440606
0,Negative,Positive,0.8229618
0,Negative,Positive,0.96463406
0,Negative,Positive,0.9912676
0,Negative,Positive,0.9920891
0,Negative,Positive,0.8348145
1,Positive,Negative,0.0003121717
1,Positive,Negative,0.033799704
1,Positive,Negative,0.016863998
0,Negative,Positive,0.6233456
0,Negative,Positive,0.73915434
0,Negative,Positive,0.51589596
1,Positive,Negative,0.2689605
1,Positive,Negative,0.0018303033
1,Positive,Negative,0.041584965
0,Negative,Positive,0.8893144
1,Positive,Negative,0.0012888187
0,Negative,Positive,0.99999267
1,Positive,Negative,0.46802062
0,Negative,Positive,0.57863563
1,Positive,Negative,0.036482606
1,Positive,Negative,0.048209604
1,Positive,Negative,0.019947961
0,Negative,Positive,0.9565139
0,Negative,Positive,0.99957824
0,Negative,Positive,0.9605393
1,Positive,Negative,0.038718622
0,Negative,Positive,0.7318732
1,Positive,Negative,0.011046649
0,Negative,Positive,0.98967737
1,Positive,Negative,0.035507258
1,Positive,Negative,0.0065363697
0,Negative,Positive,0.72288543
1,Positive,Negative,0.48334262
1,Positive,Negative,0.20394297
0,Negative,Positive,0.5154494
1,Positive,Negative,0.0034626483
1,Positive,Negative,0.008269167
1,Positive,Negative,0.0005831343
1,Positive,Negative,0.11337886
1,Positive,Negative,0.06625464
1,Positive,Negative,0.15217385
1,Positive,Negative,0.2203597
0,Negative,Positive,0.99996626
1,Positive,Negative,0.005489904
0,Negative,Positive,0.99996674
1,Positive,Negative,0.00068441546
0,Negative,Positive,0.77649117
1,Positive,Negative,0.07881086
1,Positive,Negative,0.44141182
1,Positive,Negative,0.03396654
0,Negative,Positive,0.87117755
0,Negative,Positive,0.9717176
0,Negative,Positive,0.95974565
1,Positive,Negative,0.0024264709
1,Positive,Negative,0.05288034
0,Negative,Positive,0.9997319
0,Negative,Positive,0.9981493
1,Positive,Negative,0.009441993
0,Negative,Positive,0.9840155
1,Positive,Negative,0.0011149982
1,Positive,Negative,0.00015090517
1,Positive,Negative,0.034535024
1,Positive,Negative,0.0030694194
1,Positive,Negative,0.021272732
0,Negative,Positive,0.9952206
0,Negative,Positive,0.9993425
0,Negative,Positive,0.56378055
0,Negative,Positive,0.9925658
0,Negative,Positive,0.92395365
0,Negative,Positive,0.99992174
0,Negative,Positive,0.9365429
0,Negative,Positive,0.99942344
1,Positive,Negative,0.0014606485
0,Negative,Positive,0.9999544
0,Negative,Positive,0.8933318
0,Negative,Positive,0.7008899
0,Negative,Positive,0.88830346
0,Negative,Positive,0.9989084
0,Negative,Positive,0.9979456
0,Negative,Positive,0.9531484
0,Negative,Positive,0.9999941
0,Negative,Positive,0.97113335
0,Negative,Positive,0.9936945
1,Positive,Negative,0.2113912
0,Negative,Positive,0.7650662
0,Negative,Positive,0.9793133
0,Negative,Positive,0.83733356
0,Negative,Positive,0.9864095
1,Positive,Negative,0.0015316354
0,Negative,Positive,0.75300795
1,Positive,Negative,0.029109312
0,Negative,Positive,0.9153363
0,Negative,Positive,0.988154
0,Negative,Positive,0.87642676
1,Positive,Negative,0.006981249
0,Negative,Positive,0.856764
0,Negative,Positive,0.9994071
1,Positive,Negative,0.010431446
1,Positive,Negative,0.008516778
1,Positive,Negative,0.00395013
1,Positive,Negative,0.017666947
0,Negative,Positive,0.7722405
0,Negative,Positive,0.9857282
0,Negative,Positive,0.9964064
0,Negative,Positive,0.59954065
0,Negative,Positive,0.9891497
1,Positive,Negative,0.16804448
0,Negative,Positive,0.99318326
1,Positive,Negative,8.783713e-05
1,Positive,Negative,0.15531573
0,Negative,Positive,0.9850187
1,Positive,Negative,0.011290349
0,Negative,Positive,0.9989948
1,Positive,Negative,0.36150855
0,Negative,Positive,0.9938046
0,Negative,Positive,0.589166
0,Negative,Positive,0.9526022
0,Negative,Positive,0.8693142
1,Positive,Negative,0.37617508
1,Positive,Negative,0.0011262363
1,Positive,Negative,0.30236468
0,Negative,Positive,0.80294544
1,Positive,Negative,0.0037841597
1,Positive,Negative,0.0130214635
0,Negative,Positive,0.9996465
1,Positive,Negative,0.00018251916
1,Positive,Negative,0.41060242
0,Negative,Positive,0.9053897
0,Negative,Positive,0.99956286
1,Positive,Negative,0.018665494
1,Positive,Negative,0.01673436
1,Positive,Negative,0.39873862
1,Positive,Negative,0.018652253
0,Negative,Positive,0.98797756
1,Positive,Negative,0.0313601
1,Positive,Negative,0.1787642
0,Negative,Positive,0.88078934
0,Negative,Positive,0.76224214
0,Negative,Positive,0.6934893
0,Negative,Positive,0.9979321
0,Negative,Positive,0.9924245
0,Negative,Positive,0.93804044
0,Negative,Positive,0.8594816
1,Positive,Negative,0.16084209
1,Positive,Negative,0.004416097
0,Negative,Positive,0.9989447
1,Positive,Negative,0.0033000605
1,Positive,Negative,0.044179555
1,Positive,Negative,8.7747234e-05
1,Positive,Negative,0.0005235452
1,Positive,Negative,0.024758175
1,Positive,Negative,3.358773e-05
1,Positive,Negative,0.0004110053
0,Negative,Positive,0.70688117
1,Positive,Negative,0.00016180045
0,Negative,Positive,0.984551
0,Negative,Positive,0.99975973
1,Positive,Negative,0.0016217246
0,Negative,Positive,0.9993837
0,Negative,Positive,0.938093
1,Positive,Negative,0.006375547
0,Negative,Positive,0.9849373
0,Negative,Positive,0.8614995
1,Positive,Negative,0.071272485
1,Positive,Negative,0.0018898473
1,Positive,Negative,0.0009936071
0,Negative,Positive,0.9915886
1,Positive,Negative,0.024874942
0,Negative,Positive,0.9670901
0,Negative,Positive,0.9950962
0,Negative,Positive,0.999902
1,Positive,Negative,0.0012218567
1,Positive,Negative,0.0114356605
0,Negative,Positive,0.9630912
1,Positive,Negative,0.22895873
0,Negative,Positive,0.8984971
0,Negative,Positive,0.8425489
1,Positive,Negative,0.045662913
1,Positive,Negative,0.00016591215
0,Negative,Positive,0.99681795
0,Negative,Positive,0.7284632
1,Positive,Negative,0.0132511165
0,Negative,Positive,0.6339529
1,Positive,Negative,0.054795794
1,Positive,Negative,0.0031917696
1,Positive,Negative,0.16459215
1,Positive,Negative,0.00024140626
1,Positive,Negative,0.0063104467
1,Positive,Negative,0.4791297
0,Negative,Positive,0.99777937
1,Positive,Negative,0.33748928
0,Negative,Positive,0.9998217
0,Negative,Positive,0.8846202
1,Positive,Negative,0.0051175123
1,Positive,Negative,0.27920064
1,Positive,Negative,0.024569772
1,Positive,Negative,0.39153758
0,Negative,Positive,0.854304
1,Positive,Negative,0.10422608
1,Positive,Negative,0.0056916433
0,Negative,Positive,0.99848807
0,Negative,Positive,0.9333478
0,Negative,Positive,0.9962181
0,Negative,Positive,0.9958271
1,Positive,Negative,0.01202159
0,Negative,Positive,0.9805465
1,Positive,Negative,0.000523405
0,Negative,Positive,0.9998613
1,Positive,Negative,0.21536696
1,Positive,Negative,7.317243e-06
0,Negative,Positive,0.9991342
0,Negative,Positive,0.897871
0,Negative,Positive,0.7798367
1,Positive,Negative,0.016357971
0,Negative,Positive,0.9999874
0,Negative,Positive,0.9943413
0,Negative,Positive,0.997982
0,Negative,Positive,0.99801236
0,Negative,Positive,0.94127584
0,Negative,Positive,0.96845365
0,Negative,Positive,0.9860574
0,Negative,Positive,0.94610304
1,Positive,Negative,0.0037726131
1,Positive,Negative,0.035344243
1,Positive,Negative,0.011775552
0,Negative,Positive,0.9667825
1,Positive,Negative,0.10113917
1,Positive,Negative,0.09571446
1,Positive,Negative,0.0146005275
0,Negative,Positive,0.94445246
0,Negative,Positive,0.99992335
0,Negative,Positive,0.9866993
0,Negative,Positive,0.7030211
1,Positive,Negative,0.360949
1,Positive,Negative,0.25679818
0,Negative,Positive,0.97244984
1,Positive,Negative,0.0007631383
0,Negative,Positive,0.9939988
0,Negative,Positive,0.98500943
0,Negative,Positive,0.9374422
1,Positive,Negative,0.028969519
1,Positive,Negative,0.045846745
1,Positive,Negative,0.40373957
0,Negative,Positive,0.8800599
0,Negative,Positive,0.9954085
0,Negative,Positive,0.5770097
1,Positive,Negative,0.4763735
1,Positive,Negative,0.0021654824
0,Negative,Positive,0.54825485
0,Negative,Positive,0.99712026
1,Positive,Negative,0.00015951748
0,Negative,Positive,0.9778982
1,Positive,Negative,0.3739104
1,Positive,Negative,0.0006454255
0,Negative,Positive,0.9999346
1,Positive,Negative,0.0009455015
0,Negative,Positive,0.5219267
1,Positive,Negative,0.006516699
0,Negative,Positive,0.8068925
0,Negative,Positive,0.95576763
1,Positive,Negative,0.2483262
1,Positive,Negative,0.35822487
0,Negative,Positive,0.76923037
1,Positive,Negative,0.024147503
1,Positive,Negative,0.3589311
0,Negative,Positive,0.95586956
1,Positive,Negative,0.1615422
1,Positive,Negative,0.008184434
1,Positive,Negative,0.14919184
1,Positive,Negative,0.14857298
0,Negative,Positive,0.5361477
1,Positive,Negative,0.444476
0,Negative,Positive,0.998862
1,Positive,Negative,0.0009403107
0,Negative,Positive,0.977451
1,Positive,Negative,0.120685
0,Negative,Positive,0.9978975
1,Positive,Negative,0.30867046
0,Negative,Positive,0.9999485
1,Positive,Negative,0.02603994
0,Negative,Positive,0.9022567
0,Negative,Positive,0.9666639
1,Positive,Negative,4.723815e-05
1,Positive,Negative,0.2786383
0,Negative,Positive,0.99809325
1,Positive,Negative,0.09959076
1,Positive,Negative,0.30742037
1,Positive,Negative,0.019441826
0,Negative,Positive,0.99245346
1,Positive,Negative,0.006038881
0,Negative,Positive,0.5865248
1,Positive,Negative,0.12555784
1,Positive,Negative,0.01002591
1,Positive,Negative,0.15308346
0,Negative,Positive,0.8342551
0,Negative,Positive,0.96998453
1,Positive,Negative,0.013180498
1,Positive,Negative,0.06762325
0,Negative,Positive,0.91439986
1,Positive,Negative,4.759074e-05
1,Positive,Negative,0.008156998
1,Positive,Negative,0.06888754
1,Positive,Negative,0.03893259
1,Positive,Negative,0.13069256
0,Negative,Positive,0.59863037
0,Negative,Positive,0.7391484
0,Negative,Positive,0.99191815
1,Positive,Negative,0.009279256
1,Positive,Negative,0.010581054
1,Positive,Negative,0.027231805
0,Negative,Positive,0.90696716
1,Positive,Negative,0.48484528
1,Positive,Negative,0.12167344
1,Positive,Negative,0.04971519
0,Negative,Positive,0.99029887
1,Positive,Negative,0.0011648815
0,Negative,Positive,0.8190303
0,Negative,Positive,0.9994594
1,Positive,Negative,0.014053249
1,Positive,Negative,0.0034898855
1,Positive,Negative,0.04050172
0,Negative,Positive,0.9987448
0,Negative,Positive,0.97675604
0,Negative,Positive,0.9897394
0,Negative,Positive,0.9979578
0,Negative,Positive,0.99978745
0,Negative,Positive,0.99894935
1,Positive,Negative,0.008595032
0,Negative,Positive,0.99750894
0,Negative,Positive,0.99903446
0,Negative,Positive,0.8226029
1,Positive,Negative,0.15600896
0,Negative,Positive,0.6646468
0,Negative,Positive,0.8719135
1,Positive,Negative,0.0791742
0,Negative,Positive,0.99334943
1,Positive,Negative,0.0036066212
0,Negative,Positive,0.994029
1,Positive,Negative,0.43875173
1,Positive,Negative,0.0002781577
1,Positive,Negative,0.3867383
0,Negative,Positive,0.8689005
1,Positive,Negative,0.29417977
1,Positive,Negative,0.09277698
0,Negative,Positive,0.95946413
0,Negative,Positive,0.99800134
1,Positive,Negative,0.0014239697
1,Positive,Negative,0.007452319
0,Negative,Positive,0.91933906
1,Positive,Negative,0.3124045
0,Negative,Positive,0.9620552
1,Positive,Negative,0.009463719
1,Positive,Negative,0.0003738619
1,Positive,Negative,0.12792888
0,Negative,Positive,0.8177999
0,Negative,Positive,0.8865807
1,Positive,Negative,0.022615002
1,Positive,Negative,0.010030761
1,Positive,Negative,0.49719793
1,Positive,Negative,0.0062476774
1,Positive,Negative,0.0013169848
1,Positive,Negative,0.0033516225
1,Positive,Negative,0.24648662
0,Negative,Positive,0.9750034
1,Positive,Negative,0.10273663
0,Negative,Positive,0.99980944
1,Positive,Negative,0.004814379
0,Negative,Positive,0.9523922
1,Positive,Negative,0.0027407717
1,Positive,Negative,0.00028328906
1,Positive,Negative,0.12326994
0,Negative,Positive,0.99987954
1,Positive,Negative,0.014677343
0,Negative,Positive,0.9996848
0,Negative,Positive,0.99655074
1,Positive,Negative,0.067455396
1,Positive,Negative,0.027146788
0,Negative,Positive,0.9800529
1,Positive,Negative,0.0014702247
1,Positive,Negative,0.1843904
0,Negative,Positive,0.99980867
0,Negative,Positive,0.5804832
0,Negative,Positive,0.51450384
0,Negative,Positive,0.997663
1,Positive,Negative,0.06335243
0,Negative,Positive,0.9997638
1,Positive,Negative,0.0020658066
1,Positive,Negative,0.0002574378
0,Negative,Positive,0.8852924
1,Positive,Negative,0.06550072
0,Negative,Positive,0.9997728
0,Negative,Positive,0.99994266
0,Negative,Positive,0.9920079
0,Negative,Positive,0.9340502
1,Positive,Negative,0.41756192
0,Negative,Positive,0.99478316
0,Negative,Positive,0.99941283
0,Negative,Positive,0.98004353
1,Positive,Negative,0.00029528435
1,Positive,Negative,0.0136611955
1,Positive,Negative,0.14877738
1,Positive,Negative,0.013925486
0,Negative,Positive,0.98638153
1,Positive,Negative,0.00014484968
0,Negative,Positive,0.9912788
1,Positive,Negative,0.012233844
1,Positive,Negative,0.00045636838
1,Positive,Negative,0.2766373
1,Positive,Negative,0.19426046
1,Positive,Negative,0.00032232952
0,Negative,Positive,0.985136
0,Negative,Positive,0.9981224
0,Negative,Positive,0.7686612
0,Negative,Positive,0.9996689
1,Positive,Negative,0.13189803
0,Negative,Positive,0.5401592
1,Positive,Negative,0.01703475
0,Negative,Positive,0.998928
1,Positive,Negative,0.0001672958
1,Positive,Negative,0.0007572239
0,Negative,Positive,0.77195877
0,Negative,Positive,0.9955005
1,Positive,Negative,0.49821454
0,Negative,Positive,0.99939626
1,Positive,Negative,0.029900422
1,Positive,Negative,0.0021881633
1,Positive,Negative,0.0046304865
0,Negative,Positive,0.8636023
1,Positive,Negative,0.44904977
1,Positive,Negative,0.05473811
1,Positive,Negative,0.107405245
1,Positive,Negative,0.0028899636
0,Negative,Positive,0.99941456
1,Positive,Negative,0.0007087557
0,Negative,Positive,0.8952467
0,Negative,Positive,0.8331555
1,Positive,Negative,0.011741571
1,Positive,Negative,0.28471735
0,Negative,Positive,0.97112626
0,Negative,Positive,0.988839
0,Negative,Positive,0.91382664
1,Positive,Negative,0.0013572772
0,Negative,Positive,0.99507695
0,Negative,Positive,0.9979537
1,Positive,Negative,0.00043160442
0,Negative,Positive,0.9999039
0,Negative,Positive,0.997366
0,Negative,Positive,0.918138
0,Negative,Positive,0.5494252
1,Positive,Negative,0.27955446
1,Positive,Negative,0.0010769462
1,Positive,Negative,0.00019735128
1,Positive,Negative,0.28678584
0,Negative,Positive,0.9999922
1,Positive,Negative,0.0058308095
0,Negative,Positive,0.7898865
1,Positive,Negative,0.4233714
1,Positive,Negative,0.2530414
0,Negative,Positive,0.8754697
0,Negative,Positive,0.94158393
0,Negative,Positive,0.95345753
0,Negative,Positive,0.92267007
0,Negative,Positive,0.99722165
0,Negative,Positive,0.673065
0,Negative,Positive,0.9998057
0,Negative,Positive,0.87891483
1,Positive,Negative,0.00038647017
0,Negative,Positive,0.99954176
0,Negative,Positive,0.9984015
0,Negative,Positive,0.6559312
1,Positive,Negative,3.4751378e-05
0,Negative,Positive,0.98229927
0,Negative,Positive,0.67170495
0,Negative,Positive,0.999853
0,Negative,Positive,0.81088245
1,Positive,Negative,0.03565193
1,Positive,Negative,0.009895198
1,Positive,Negative,0.4543661
1,Positive,Negative,3.280707e-05
1,Positive,Negative,0.0073568583
0,Negative,Positive,0.98378795
0,Negative,Positive,0.99528545
1,Positive,Negative,0.28403482
0,Negative,Positive,0.9855068
1,Positive,Negative,0.37915784
0,Negative,Positive,0.5431358
1,Positive,Negative,0.0011902063
0,Negative,Positive,0.99999267
1,Positive,Negative,0.35984406
0,Negative,Positive,0.64010376
0,Negative,Positive,0.98309803
1,Positive,Negative,0.06970793
0,Negative,Positive,0.87638986
0,Negative,Positive,0.9998459
1,Positive,Negative,0.14182946
1,Positive,Negative,0.047515392
0,Negative,Positive,0.93726903
1,Positive,Negative,0.0018841873
1,Positive,Negative,0.36068118
0,Negative,Positive,0.9676878
0,Negative,Positive,0.9999858
0,Negative,Positive,0.9674539
1,Positive,Negative,0.3576375
1,Positive,Negative,0.19790994
1,Positive,Negative,0.28400674
1,Positive,Negative,0.004671525
0,Negative,Positive,0.99963605
0,Negative,Positive,0.9215229
1,Positive,Negative,0.027519548
0,Negative,Positive,0.6858526
0,Negative,Positive,0.94707286
0,Negative,Positive,0.9680327
0,Negative,Positive,0.9996994
1,Positive,Negative,0.0058839214
1,Positive,Negative,0.02146468
1,Positive,Negative,0.0001911812
0,Negative,Positive,0.9999656
1,Positive,Negative,0.00045896307
0,Negative,Positive,0.9039619
0,Negative,Positive,0.5285517
0,Negative,Positive,0.9997199
1,Positive,Negative,0.23361178
0,Negative,Positive,0.9832228
0,Negative,Positive,0.99821126
1,Positive,Negative,0.0003978955
1,Positive,Negative,0.00103394
1,Positive,Negative,0.27989137
0,Negative,Positive,0.99993855
0,Negative,Positive,0.63378996
1,Positive,Negative,0.10480576
1,Positive,Negative,0.0335218
0,Negative,Positive,0.9389303
1,Positive,Negative,0.06290462
1,Positive,Negative,0.005856956
1,Positive,Negative,0.25023663
0,Negative,Positive,0.9897292
0,Negative,Positive,0.99856704
0,Negative,Positive,0.9247468
0,Negative,Positive,0.6253379
0,Negative,Positive,0.9847488
1,Positive,Negative,0.012129913
0,Negative,Positive,0.9842628
0,Negative,Positive,0.9992994
0,Negative,Positive,0.99776256
1,Positive,Negative,0.4657939
0,Negative,Positive,0.9964519
0,Negative,Positive,0.9204605
1,Positive,Negative,1.745051e-05
0,Negative,Positive,0.99802446
0,Negative,Positive,0.99996483
1,Positive,Negative,0.0032864623
1,Positive,Negative,0.0023395272
1,Positive,Negative,0.015802164
1,Positive,Negative,0.035599656
1,Positive,Negative,0.0033300552
1,Positive,Negative,0.069123045
1,Positive,Negative,0.006052259
1,Positive,Negative,0.0057010823
1,Positive,Negative,0.11414441
1,Positive,Negative,0.26252082
1,Positive,Negative,0.13597706
0,Negative,Positive,0.75039905
0,Negative,Positive,0.9769408
1,Positive,Negative,0.06926543
0,Negative,Positive,0.9985694
0,Negative,Positive,0.9795472
1,Positive,Negative,1.896037e-05
1,Positive,Negative,0.0019542312
0,Negative,Positive,0.99860513
0,Negative,Positive,0.9995213
1,Positive,Negative,0.26352817
0,Negative,Positive,0.9994322
1,Positive,Negative,0.0031658146
0,Negative,Positive,0.79955155
0,Negative,Positive,0.9961217
1,Positive,Negative,0.20776817
1,Positive,Negative,0.008124886
0,Negative,Positive,0.9973994
1,Positive,Negative,0.30198455
1,Positive,Negative,0.0055615897
1,Positive,Negative,0.037910882
0,Negative,Positive,0.9929524
1,Positive,Negative,0.028857611
0,Negative,Positive,0.9597527
0,Negative,Positive,0.9468648
1,Positive,Negative,0.09716645
0,Negative,Positive,0.9972362
1,Positive,Negative,0.000583811
0,Negative,Positive,0.86108136
0,Negative,Positive,0.8942869
1,Positive,Negative,0.016901646
1,Positive,Negative,0.00040208336
1,Positive,Negative,0.0054984656
1,Positive,Negative,0.009302148
1,Positive,Negative,0.04490418
0,Negative,Positive,0.99996287
0,Negative,Positive,0.9788154
1,Positive,Negative,0.00827354
0,Negative,Positive,0.69405794
1,Positive,Negative,0.007500433
0,Negative,Positive,0.9985107
0,Negative,Positive,0.578449
0,Negative,Positive,0.9998305
0,Negative,Positive,0.9619371
0,Negative,Positive,0.97633666
1,Positive,Negative,0.04415659
1,Positive,Negative,0.0017551384
0,Negative,Positive,0.7871926
1,Positive,Negative,0.04829565
0,Negative,Positive,0.987404
1,Positive,Negative,0.35205206
0,Negative,Positive,0.66611147
1,Positive,Negative,4.1456737e-05
0,Negative,Positive,0.9858774
0,Negative,Positive,0.97139907
1,Positive,Negative,0.018896546
0,Negative,Positive,0.9872122
1,Positive,Negative,6.256034e-05
0,Negative,Positive,0.99997246
0,Negative,Positive,0.8380105
1,Positive,Negative,0.0019231132
1,Positive,Negative,0.14825927
0,Negative,Positive,0.96047896
0,Negative,Positive,0.7430668
0,Negative,Positive,0.9924321
0,Negative,Positive,0.7484549
0,Negative,Positive,0.9999531
1,Positive,Negative,0.0031616972
1,Positive,Negative,0.23440416
1,Positive,Negative,0.0008149764
0,Negative,Positive,0.92532593
1,Positive,Negative,0.004906516
0,Negative,Positive,0.99807477
0,Negative,Positive,0.9992834
0,Negative,Positive,0.82731986
1,Positive,Negative,0.18080956
1,Positive,Negative,0.022129167
0,Negative,Positive,0.94859046
1,Positive,Negative,0.1375823
0,Negative,Positive,0.58106834
1,Positive,Negative,0.16343577
1,Positive,Negative,0.00086257816
1,Positive,Negative,0.02428408
1,Positive,Negative,0.013825498
1,Positive,Negative,0.25687242
1,Positive,Negative,0.254965
1,Positive,Negative,0.08285792
0,Negative,Positive,0.97978663
1,Positive,Negative,0.00017870101
1,Positive,Negative,0.01764109
0,Negative,Positive,0.9653662
1,Positive,Negative,0.16125707
0,Negative,Positive,0.885376
0,Negative,Positive,0.9927577
1,Positive,Negative,0.025535092
1,Positive,Negative,0.0012222745
0,Negative,Positive,0.99940765
1,Positive,Negative,0.08945204
0,Negative,Positive,0.98859525
1,Positive,Negative,0.019485174
1,Positive,Negative,0.004260599
