Review,Actual,Predicted,Probability
1,Positive,Negative,0.00096180337
1,Positive,Negative,7.600753e-05
1,Positive,Negative,0.0007392268
1,Positive,Negative,9.701354e-09
1,Positive,Negative,0.024474528
0,Negative,Positive,0.9589677
0,Negative,Positive,0.9999968
0,Negative,Positive,0.6992969
1,Positive,Negative,0.07920445
0,Negative,Positive,0.9999923
0,Negative,Positive,0.9084699
1,Positive,Negative,0.0036646798
0,Negative,Positive,0.9998735
1,Positive,Negative,0.0008794788
1,Positive,Negative,0.40115577
1,Positive,Negative,0.0007099387
0,Negative,Positive,0.9994856
1,Positive,Negative,0.31391686
0,Negative,Positive,0.99365014
1,Positive,Negative,0.2581013
1,Positive,Negative,9.463394e-07
0,Negative,Positive,0.9998446
1,Positive,Negative,0.0020140472
1,Positive,Negative,0.0016377574
1,Positive,Negative,0.0030004128
1,Positive,Negative,0.10340018
0,Negative,Positive,0.8220541
0,Negative,Positive,0.99670637
0,Negative,Positive,0.9999593
1,Positive,Negative,0.0053703743
0,Negative,Positive,0.9964514
1,Positive,Negative,0.0036618342
1,Positive,Negative,0.08347619
0,Negative,Positive,0.999206
0,Negative,Positive,0.94935197
1,Positive,Negative,0.0055576903
0,Negative,Positive,0.9974824
1,Positive,Negative,0.004420577
0,Negative,Positive,0.99664855
0,Negative,Positive,0.99615616
1,Positive,Negative,0.0013860513
1,Positive,Negative,7.654241e-06
0,Negative,Positive,0.98399305
1,Positive,Negative,0.25889254
0,Negative,Positive,0.9946794
0,Negative,Positive,0.999991
0,Negative,Positive,0.995444
0,Negative,Positive,0.99990875
1,Positive,Negative,0.23315057
1,Positive,Negative,0.0012937502
0,Negative,Positive,0.9954893
0,Negative,Positive,0.99596375
0,Negative,Positive,0.9934372
0,Negative,Positive,0.99333334
0,Negative,Positive,0.621957
0,Negative,Positive,0.9861796
1,Positive,Negative,0.00076977134
0,Negative,Positive,0.57442224
0,Negative,Positive,0.91516936
0,Negative,Positive,0.99997705
1,Positive,Negative,3.204373e-05
0,Negative,Positive,0.73636866
1,Positive,Negative,0.0017826293
0,Negative,Positive,0.7785828
1,Positive,Negative,0.009639824
0,Negative,Positive,0.99350345
0,Negative,Positive,0.988541
0,Negative,Positive,0.5923999
0,Negative,Positive,0.90381193
1,Positive,Negative,0.0015221722
0,Negative,Positive,0.99382114
1,Positive,Negative,0.1241461
0,Negative,Positive,0.8885349
1,Positive,Negative,0.051639635
0,Negative,Positive,0.98162216
1,Positive,Negative,0.07897269
0,Negative,Positive,0.9896393
1,Positive,Negative,0.014102823
1,Positive,Negative,0.0133022275
1,Positive,Negative,0.32248518
1,Positive,Negative,0.0023466663
1,Positive,Negative,0.031136308
1,Positive,Negative,1.6779624e-06
0,Negative,Positive,0.9997117
0,Negative,Positive,0.89079213
1,Positive,Negative,0.022093251
1,Positive,Negative,3.673397e-06
1,Positive,Negative,0.103779
1,Positive,Negative,0.0018204
0,Negative,Positive,0.58829683
1,Positive,Negative,0.016795611
1,Positive,Negative,0.09016503
1,Positive,Negative,0.15783265
0,Negative,Positive,0.9888976
0,Negative,Positive,0.8808845
0,Negative,Positive,0.97654146
0,Negative,Positive,0.9999433
1,Positive,Negative,0.0677375
0,Negative,Positive,0.9999596
0,Negative,Positive,0.758806
0,Negative,Positive,0.99836797
1,Positive,Negative,0.0023298045
0,Negative,Positive,0.99934095
1,Positive,Negative,0.06421587
0,Negative,Positive,0.73436534
1,Positive,Negative,0.08471174
0,Negative,Positive,0.9999697
1,Positive,Negative,0.012893474
0,Negative,Positive,0.9999853
0,Negative,Positive,0.9945414
1,Positive,Negative,0.34491175
1,Positive,Negative,8.130876e-05
1,Positive,Negative,0.057069488
1,Positive,Negative,0.010009765
0,Negative,Positive,0.9999943
1,Positive,Negative,0.067762874
1,Positive,Negative,2.5441532e-06
0,Negative,Positive,0.985732
0,Negative,Positive,0.9700635
0,Negative,Positive,0.99998033
1,Positive,Negative,0.04918561
1,Positive,Negative,1.0028036e-08
1,Positive,Negative,0.002102508
1,Positive,Negative,0.009109221
0,Negative,Positive,0.91066134
0,Negative,Positive,0.8123183
1,Positive,Negative,0.19484499
1,Positive,Negative,0.019348009
0,Negative,Positive,0.99999106
0,Negative,Positive,0.9998742
0,Negative,Positive,0.7769967
1,Positive,Negative,0.006339877
1,Positive,Negative,0.023537833
0,Negative,Positive,0.94315666
1,Positive,Negative,0.20241484
0,Negative,Positive,0.99504226
1,Positive,Negative,0.064928606
1,Positive,Negative,0.013286784
0,Negative,Positive,0.9897515
0,Negative,Positive,0.89888406
1,Positive,Negative,0.00046898882
1,Positive,Negative,0.111609206
1,Positive,Negative,0.24865633
1,Positive,Negative,0.0019189653
1,Positive,Negative,0.0029757207
0,Negative,Positive,0.9998075
0,Negative,Positive,0.9991784
0,Negative,Positive,0.92120576
0,Negative,Positive,0.9314535
0,Negative,Positive,0.9996583
0,Negative,Positive,0.888727
1,Positive,Negative,0.001535032
0,Negative,Positive,0.9999941
0,Negative,Positive,0.54576457
1,Positive,Negative,0.001183725
0,Negative,Positive,0.9999038
1,Positive,Negative,0.00015503912
1,Positive,Negative,0.014178669
0,Negative,Positive,0.9982779
0,Negative,Positive,0.9995981
1,Positive,Negative,0.20963177
0,Negative,Positive,0.90701175
0,Negative,Positive,0.99967194
0,Negative,Positive,0.9836419
0,Negative,Positive,0.97069645
0,Negative,Positive,0.99315804
0,Negative,Positive,0.9987307
0,Negative,Positive,0.9999328
0,Negative,Positive,0.99996054
1,Positive,Negative,0.0023512524
1,Positive,Negative,0.10343009
1,Positive,Negative,0.06414923
1,Positive,Negative,0.001524264
0,Negative,Positive,0.9992215
1,Positive,Negative,0.0031534152
1,Positive,Negative,0.0178272
1,Positive,Negative,0.0016021667
0,Negative,Positive,0.7153136
0,Negative,Positive,0.9971517
0,Negative,Positive,0.9998914
0,Negative,Positive,0.9991441
0,Negative,Positive,0.99994445
1,Positive,Negative,0.0008696855
0,Negative,Positive,0.88577265
1,Positive,Negative,4.2155543e-06
1,Positive,Negative,0.00045425538
1,Positive,Negative,0.01945839
1,Positive,Negative,0.16452618
1,Positive,Negative,0.00013611345
1,Positive,Negative,0.0010082624
1,Positive,Negative,0.068711914
0,Negative,Positive,0.8426699
0,Negative,Positive,0.9999884
1,Positive,Negative,1.8026604e-08
0,Negative,Positive,0.9095562
1,Positive,Negative,0.009886905
1,Positive,Negative,0.008733729
0,Negative,Positive,0.99870396
1,Positive,Negative,0.00057037367
1,Positive,Negative,0.3332866
0,Negative,Positive,0.99847364
0,Negative,Positive,0.9996593
0,Negative,Positive,0.99590725
0,Negative,Positive,0.9977531
0,Negative,Positive,0.9994381
1,Positive,Negative,0.0010628353
1,Positive,Negative,0.0005918265
1,Positive,Negative,0.072708
0,Negative,Positive,0.99989325
1,Positive,Negative,0.001356884
1,Positive,Negative,0.00083224
0,Negative,Positive,0.99998707
1,Positive,Negative,0.06676222
1,Positive,Negative,0.3650653
0,Negative,Positive,0.999989
0,Negative,Positive,0.9979156
0,Negative,Positive,0.99839085
0,Negative,Positive,0.99097174
0,Negative,Positive,0.9951917
0,Negative,Positive,0.9968697
0,Negative,Positive,0.9931193
0,Negative,Positive,0.9999542
1,Positive,Negative,0.0055287816
1,Positive,Negative,0.23213643
0,Negative,Positive,0.99926245
0,Negative,Positive,0.99859905
0,Negative,Positive,0.8037283
0,Negative,Positive,0.9989388
1,Positive,Negative,2.6817366e-09
0,Negative,Positive,0.99984205
0,Negative,Positive,0.9982736
0,Negative,Positive,0.7538838
1,Positive,Negative,0.00057973224
1,Positive,Negative,0.00054361665
0,Negative,Positive,0.5828597
1,Positive,Negative,4.4477896e-05
1,Positive,Negative,0.003376542
0,Negative,Positive,0.9998465
0,Negative,Positive,0.99373245
1,Positive,Negative,0.0094242
0,Negative,Positive,0.9870305
1,Positive,Negative,0.0013547596
0,Negative,Positive,0.99923533
1,Positive,Negative,0.10055202
0,Negative,Positive,0.8694577
0,Negative,Positive,0.505436
0,Negative,Positive,0.99982363
0,Negative,Positive,0.99932903
1,Positive,Negative,0.027169865
0,Negative,Positive,0.9999956
1,Positive,Negative,4.6014286e-08
0,Negative,Positive,0.99998224
1,Positive,Negative,0.00068183045
0,Negative,Positive,0.905469
0,Negative,Positive,0.9968941
1,Positive,Negative,0.0009783444
0,Negative,Positive,0.6532645
1,Positive,Negative,0.1066996
0,Negative,Positive,0.66030526
0,Negative,Positive,0.9999337
0,Negative,Positive,0.99847996
1,Positive,Negative,0.18273069
0,Negative,Positive,0.77696216
1,Positive,Negative,0.026185052
1,Positive,Negative,0.15887189
0,Negative,Positive,0.66550136
0,Negative,Positive,0.9998258
0,Negative,Positive,0.99992967
1,Positive,Negative,0.014205107
1,Positive,Negative,0.0150927175
0,Negative,Positive,0.9937893
0,Negative,Positive,0.9999961
1,Positive,Negative,0.0043256837
1,Positive,Negative,4.525806e-05
1,Positive,Negative,0.0004745808
0,Negative,Positive,0.99999523
1,Positive,Negative,0.001158138
1,Positive,Negative,0.00048487194
1,Positive,Negative,0.0032258986
0,Negative,Positive,0.5006783
0,Negative,Positive,0.92955333
0,Negative,Positive,0.9999388
0,Negative,Positive,0.9976444
0,Negative,Positive,0.61075944
0,Negative,Positive,0.99968183
1,Positive,Negative,0.004113167
1,Positive,Negative,0.043512896
0,Negative,Positive,0.99942297
0,Negative,Positive,0.5253308
1,Positive,Negative,0.09384432
0,Negative,Positive,0.98174804
1,Positive,Negative,0.21957082
1,Positive,Negative,0.001280046
1,Positive,Negative,0.0011402074
0,Negative,Positive,0.9999822
0,Negative,Positive,0.9912925
0,Negative,Positive,0.99873024
1,Positive,Negative,0.09844043
1,Positive,Negative,0.3377272
0,Negative,Positive,0.99703586
0,Negative,Positive,0.9953597
0,Negative,Positive,0.9970767
0,Negative,Positive,0.9999906
0,Negative,Positive,0.9894534
0,Negative,Positive,0.6684753
1,Positive,Negative,0.12549713
1,Positive,Negative,0.005164922
0,Negative,Positive,0.9999564
0,Negative,Positive,0.9835052
0,Negative,Positive,0.99993867
1,Positive,Negative,0.023124006
1,Positive,Negative,0.016191207
0,Negative,Positive,0.99812996
0,Negative,Positive,0.9957706
0,Negative,Positive,0.72276515
1,Positive,Negative,0.0034423394
1,Positive,Negative,0.004082905
1,Positive,Negative,0.00010744217
1,Positive,Negative,0.05639674
1,Positive,Negative,0.236819
1,Positive,Negative,0.0012963684
1,Positive,Negative,0.0039735
1,Positive,Negative,0.031174425
1,Positive,Negative,0.023152288
1,Positive,Negative,0.031890087
1,Positive,Negative,0.009072204
1,Positive,Negative,0.2168124
1,Positive,Negative,0.01773899
0,Negative,Positive,0.9132906
0,Negative,Positive,0.98157686
1,Positive,Negative,0.0013761213
0,Negative,Positive,0.9994723
0,Negative,Positive,0.9999932
0,Negative,Positive,0.9960189
1,Positive,Negative,0.00057347293
1,Positive,Negative,0.0025888665
1,Positive,Negative,0.001998971
0,Negative,Positive,0.9747349
0,Negative,Positive,0.9999843
1,Positive,Negative,0.02687484
1,Positive,Negative,0.075817905
0,Negative,Positive,0.99994963
0,Negative,Positive,0.9979964
0,Negative,Positive,0.91310495
1,Positive,Negative,0.003799786
1,Positive,Negative,0.0010672149
1,Positive,Negative,0.015319871
1,Positive,Negative,0.01819212
0,Negative,Positive,0.9747583
0,Negative,Positive,0.9846735
1,Positive,Negative,0.014004885
1,Positive,Negative,0.0002364988
1,Positive,Negative,0.119337104
0,Negative,Positive,0.9999772
0,Negative,Positive,0.9980562
1,Positive,Negative,0.015941883
0,Negative,Positive,0.9999426
0,Negative,Positive,0.96933436
1,Positive,Negative,0.10997825
0,Negative,Positive,0.9990493
0,Negative,Positive,0.99963146
1,Positive,Negative,0.00043653604
1,Positive,Negative,0.005150447
1,Positive,Negative,0.027575564
1,Positive,Negative,0.003738788
1,Positive,Negative,0.08253074
1,Positive,Negative,7.9587414e-10
0,Negative,Positive,0.99998075
0,Negative,Positive,0.99999577
1,Positive,Negative,2.9954697e-07
1,Positive,Negative,0.046308253
0,Negative,Positive,0.9511927
0,Negative,Positive,0.9835845
1,Positive,Negative,0.48138666
0,Negative,Positive,0.97502536
1,Positive,Negative,0.0028825903
0,Negative,Positive,0.9997937
0,Negative,Positive,0.9825175
0,Negative,Positive,0.9840961
1,Positive,Negative,0.090580866
1,Positive,Negative,0.0014151589
0,Negative,Positive,0.98809445
1,Positive,Negative,0.003976126
0,Negative,Positive,0.9996614
0,Negative,Positive,0.9984949
1,Positive,Negative,0.0024838997
0,Negative,Positive,0.9985461
1,Positive,Negative,0.001595676
0,Negative,Positive,0.9999987
1,Positive,Negative,0.046042316
1,Positive,Negative,0.3794333
1,Positive,Negative,0.14090112
1,Positive,Negative,0.079702534
0,Negative,Positive,0.9989478
0,Negative,Positive,0.99991614
0,Negative,Positive,0.99434876
1,Positive,Negative,0.0009834748
1,Positive,Negative,0.003671253
1,Positive,Negative,0.015391925
1,Positive,Negative,0.07031731
0,Negative,Positive,0.5352714
0,Negative,Positive,0.74134386
1,Positive,Negative,0.0020713187
0,Negative,Positive,0.9995104
1,Positive,Negative,0.01370629
1,Positive,Negative,0.0015927943
1,Positive,Negative,8.696975e-06
1,Positive,Negative,1.0607732e-05
1,Positive,Negative,0.012291213
0,Negative,Positive,0.9988858
1,Positive,Negative,0.0015776649
1,Positive,Negative,0.035228997
1,Positive,Negative,0.0034244806
1,Positive,Negative,0.20163557
0,Negative,Positive,0.99944764
1,Positive,Negative,0.10525597
1,Positive,Negative,0.00040945978
0,Negative,Positive,0.60921395
1,Positive,Negative,0.10477155
0,Negative,Positive,0.9999108
0,Negative,Positive,0.68585
0,Negative,Positive,0.9211464
0,Negative,Positive,0.99969304
1,Positive,Negative,0.20336984
1,Positive,Negative,0.0022257678
0,Negative,Positive,0.83527577
1,Positive,Negative,0.26085725
0,Negative,Positive,0.99897283
1,Positive,Negative,0.4545293
0,Negative,Positive,0.9786182
0,Negative,Positive,0.99892133
1,Positive,Negative,0.0017178502
0,Negative,Positive,0.9998257
0,Negative,Positive,0.9965731
0,Negative,Positive,0.97170204
0,Negative,Positive,0.99907756
1,Positive,Negative,0.17046468
1,Positive,Negative,0.0010679767
0,Negative,Positive,0.99967533
0,Negative,Positive,0.9999467
1,Positive,Negative,0.0005192643
0,Negative,Positive,0.8477134
1,Positive,Negative,0.25368544
1,Positive,Negative,0.004978106
0,Negative,Positive,0.9999867
0,Negative,Positive,0.6843802
1,Positive,Negative,1.23758e-05
1,Positive,Negative,0.0049872147
0,Negative,Positive,0.9998038
0,Negative,Positive,0.9998805
1,Positive,Negative,0.23586869
0,Negative,Positive,0.9999008
0,Negative,Positive,0.9997837
1,Positive,Negative,0.24197133
0,Negative,Positive,0.9796745
1,Positive,Negative,0.0054508788
1,Positive,Negative,0.0136903655
1,Positive,Negative,0.020171097
1,Positive,Negative,0.41423473
0,Negative,Positive,0.9891216
0,Negative,Positive,0.78909224
1,Positive,Negative,0.00056147296
1,Positive,Negative,0.033219848
1,Positive,Negative,0.469829
1,Positive,Negative,7.1595836e-09
0,Negative,Positive,0.9938936
0,Negative,Positive,0.99936974
1,Positive,Negative,0.0011825197
1,Positive,Negative,0.0012592609
